,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
120,600202.SH,20230629,5.44,5.55,5.43,5.49,5.42,0.07,1.2915,117322.01,64716.414
121,600202.SH,20230628,5.38,5.46,5.28,5.42,5.38,0.04,0.7435,88302.0,47503.672
122,600202.SH,20230627,5.16,5.38,5.13,5.38,5.16,0.22,4.2636,128097.0,68031.66
123,600202.SH,20230626,5.12,5.22,5.12,5.16,5.18,-0.02,-0.3861,58115.0,30078.007
124,600202.SH,20230621,5.16,5.25,5.15,5.18,5.16,0.02,0.3876,64550.0,33490.2
125,600202.SH,20230620,5.23,5.28,5.16,5.16,5.24,-0.08,-1.5267,73690.0,38267.708
126,600202.SH,20230619,5.38,5.41,5.23,5.24,5.41,-0.17,-3.1423,115190.0,60957.694
127,600202.SH,20230616,5.4,5.47,5.35,5.41,5.44,-0.03,-0.5515,117020.63,63320.973
128,600202.SH,20230615,5.51,5.57,5.38,5.44,5.58,-0.14,-2.509,187596.7,101648.154
129,600202.SH,20230614,5.33,5.83,5.25,5.58,5.32,0.26,4.8872,245983.1,136433.508
130,600202.SH,20230613,5.29,5.37,5.27,5.32,5.32,0.0,0.0,31905.0,16973.251
131,600202.SH,20230612,5.23,5.33,5.12,5.32,5.26,0.06,1.1407,63780.0,33323.889
132,600202.SH,20230609,5.18,5.36,5.14,5.26,5.17,0.09,1.7408,61418.0,32261.919
133,600202.SH,20230608,5.19,5.22,5.15,5.17,5.22,-0.05,-0.9579,37519.0,19449.851
134,600202.SH,20230607,5.27,5.28,5.17,5.22,5.24,-0.02,-0.3817,38862.02,20319.218
135,600202.SH,20230606,5.39,5.41,5.24,5.24,5.4,-0.16,-2.963,49211.01,26155.283
136,600202.SH,20230605,5.38,5.41,5.34,5.4,5.39,0.01,0.1855,42002.0,22614.765
137,600202.SH,20230602,5.34,5.4,5.31,5.39,5.31,0.08,1.5066,45431.0,24399.189
138,600202.SH,20230601,5.37,5.4,5.31,5.31,5.37,-0.06,-1.1173,48374.92,25921.867
139,600202.SH,20230531,5.43,5.43,5.36,5.37,5.42,-0.05,-0.9225,38478.0,20714.843
140,600202.SH,20230530,5.37,5.43,5.31,5.42,5.37,0.05,0.9311,50500.0,27171.759
141,600202.SH,20230529,5.49,5.49,5.34,5.37,5.47,-0.1,-1.8282,66502.0,35827.791
142,600202.SH,20230526,5.54,5.54,5.39,5.47,5.53,-0.06,-1.085,58405.7,31849.067
143,600202.SH,20230525,5.45,5.55,5.43,5.53,5.48,0.05,0.9124,53919.01,29666.575
144,600202.SH,20230524,5.45,5.54,5.41,5.48,5.48,0.0,0.0,63377.84,34792.624
145,600202.SH,20230523,5.52,5.56,5.47,5.48,5.53,-0.05,-0.9042,52977.65,29210.442
146,600202.SH,20230522,5.46,5.55,5.43,5.53,5.46,0.07,1.2821,84836.54,46800.611
147,600202.SH,20230519,5.53,5.53,5.42,5.46,5.53,-0.07,-1.2658,70625.0,38615.54
148,600202.SH,20230518,5.46,5.6,5.45,5.53,5.45,0.08,1.4679,108287.42,59770.036
149,600202.SH,20230517,5.39,5.46,5.33,5.45,5.42,0.03,0.5535,65433.23,35523.506
150,600202.SH,20230516,5.37,5.47,5.35,5.42,5.37,0.05,0.9311,72213.23,39168.545
151,600202.SH,20230515,5.33,5.45,5.31,5.37,5.29,0.08,1.5123,62095.23,33304.443
152,600202.SH,20230512,5.3,5.34,5.28,5.29,5.33,-0.04,-0.7505,44524.33,23633.425
153,600202.SH,20230511,5.26,5.35,5.22,5.33,5.26,0.07,1.3308,44848.0,23853.029
154,600202.SH,20230510,5.24,5.28,5.2,5.26,5.24,0.02,0.3817,30586.0,16043.227
155,600202.SH,20230509,5.29,5.33,5.22,5.24,5.29,-0.05,-0.9452,44295.0,23345.066
156,600202.SH,20230508,5.29,5.34,5.27,5.29,5.29,0.0,0.0,43282.0,22954.571
157,600202.SH,20230505,5.31,5.32,5.22,5.29,5.31,-0.02,-0.3766,42175.0,22250.744
158,600202.SH,20230504,5.23,5.34,5.23,5.31,5.23,0.08,1.5296,67504.0,35845.324
159,600202.SH,20230428,5.07,5.25,5.05,5.23,5.07,0.16,3.1558,54143.01,28100.808
160,600202.SH,20230427,5.07,5.13,5.02,5.07,5.06,0.01,0.1976,39434.65,20069.602
161,600202.SH,20230426,4.95,5.09,4.93,5.06,4.95,0.11,2.2222,46631.38,23488.898
162,600202.SH,20230425,5.07,5.08,4.85,4.95,5.07,-0.12,-2.3669,62957.0,31078.779
